,Address,BusinessName,BusinessType,CD,City,DateApproved,Gender,JobsReported,Lender,LoanAmount,NAICSCode,NonProfit,RaceEthnicity,State,Veteran,Zip
744041,606 East Evergreen Road,STONE BARN FURNITURE,Corporation,PA-09,Lebanon,4/27/2020,Unanswered,9,Jonestown Bank and Trust Company,63420,442210,,Unanswered,PA,Unanswered,17042
777571,237 SHIPPENSBURG RD,THOMAN'S LLC,Subchapter S Corporation,PA-10,EAST BERLIN,4/9/2020,Unanswered,5,AgChoice ACA,28255,811310,,Unanswered,PA,Unanswered,17316
785852,CREEK DR,FRANICS JOSEPH KORPICS III,Limited  Liability Company(LLC),PA-09,LEHIGHTON,4/15/2020,Unanswered,2,Truist Bank d/b/a Branch Banking & Trust Co,23500,238350,,Unanswered,PA,Unanswered,18235
512739,110 Vetearans Lane,HUANG INC,Subchapter S Corporation,PA-01,Doylestown,5/1/2020,Unanswered,0,"Citizens Bank, National Association",336700,561990,,Unanswered,PA,Unanswered,18901
794563,150 N Randor Chester Rd,DORON HENKIN,Sole Proprietorship,PA-05,Randor,4/28/2020,Unanswered,1,Republic First Bank d/b/a Republic Bank,20825,541110,,Unanswered,PA,Unanswered,19087
854491,2491 W MAIN STREET,YE NAILS & SPA LLC,Self-Employed Individuals,PA-04,NORRISTOWN,7/9/2020,Unanswered,1,"Kabbage, Inc.",4106,812113,,Unanswered,PA,Unanswered,19403
872170,5185 MacArthur Boulevard Northwest,"ASI, INC.",Corporation,DC-,WASHINGTON,5/11/2020,Unanswered,2,Manufacturers and Traders Trust Company,19700,541410,,Unanswered,DC,Unanswered,20016
655717,8405 Lippizan Place,CREATIVE MUSIC LLC,Limited  Liability Company(LLC),VA-01,Gainesville,5/26/2020,Unanswered,6,Cross River Bank,13547,711190,,Unanswered,VA,Unanswered,20155
289329,11400 pegasus court,NEPHROLOGY AND HYPERTENSION MEDICINE INC,Subchapter S Corporation,MD-04,upper marboro,7/30/2020,Unanswered,1,"Citibank, N.A.",20800,621111,,Unanswered,MD,Unanswered,20772
298201,5532 TUXEDO RD,ALL PRO GLASS LLC,Limited  Liability Company(LLC),MD-04,HYATTSVILLE,4/30/2020,Unanswered,26,"Bank of America, National Association",280473,238150,,Unanswered,MD,Unanswered,20781
291417,9600 FOREST RD,"ROCHAMBEAU, THE FRENCH INTERNATIONAL SCHOOL OF WASHINGTON, D",Non-Profit Organization,MD-08,BETHESDA,4/11/2020,Unanswered,265,Truist Bank d/b/a Branch Banking & Trust Co,2798200,611110,Y,Unanswered,MD,Unanswered,20814
308269,30 Grafton Street,LIVING PLANET PRESS INC,Corporation,MD-08,Chevy Chase,6/3/2020,Unanswered,1,WebBank,9375,511199,,Unanswered,MD,Unanswered,20815
279309,1102 Honeysuckle Lane,"BUSY BEE CHILD CARE, INC.",Corporation,MD-04,ANNAPOLIS,4/11/2020,Male Owned,3,"TD Bank, National Association",29842.5,624410,,Hispanic,MD,Unanswered,21401
671409,"2920 district ave., apt 611",DAWOON JUNG,Sole Proprietorship,VA-11,fairfax,6/2/2020,Male Owned,1,Congressional Bank,7155,812112,,Unanswered,VA,Unanswered,22031
745832,110 123rd Ave E,FORMSOURCE INC.,Corporation,WA-10,Edgewood,4/13/2020,Female Owned,2,"Readycap Lending, LLC",22200,323111,,Unanswered,WA,Non-Veteran,22152
613970,8304 OLD COURTHOUSE RD STE D,ATA&AMP;ANA LLC,Limited  Liability Company(LLC),VA-11,VIENNA,5/1/2020,Unanswered,120,"Bank of America, National Association",677052,621999,,Unanswered,VA,Unanswered,22182
365298,1901 Ridge Road,HIGHLAND METHODIST CHURCH OF RALEIGH,Non-Profit Organization,NC-04,RALEIGH,4/8/2020,Unanswered,0,Towne Bank,315500,813110,Y,Unanswered,NC,Unanswered,27607
373853,507 BELL FORK ROAD,"FURNITURE FAIR OF GOLDSBORO, INC.",Corporation,NC-03,JACKSONVILLE,4/6/2020,Male Owned,32,First National Bank of Pennsylvania,153800,442110,,Unanswered,NC,Unanswered,28540
699080,2646 Raintree Street,EVANS CONSTRUCTION COMPANY,Corporation,NC-11,CONNELLY SPRINGS,5/26/2020,Unanswered,19,Truist Bank d/b/a Branch Banking & Trust Co,120748,237310,,Unanswered,NC,Unanswered,28612
775329,1048 POPLAR ST,"K-9 SECURITY AND PROTECTION SERVICES, INC.",Corporation,NC-10,CONOVER,8/4/2020,Unanswered,2,First Horizon Bank,10652,561621,,Unanswered,NC,Unanswered,28613
536781,5507 Colonial Drive,PALMETTO PLACE CHILDRENS EMERGENCY SHELTER,Non-Profit Organization,SC-06,Columbia,4/30/2020,Unanswered,35,First-Citizens Bank & Trust Company,196700,624221,Y,Unanswered,SC,Unanswered,29203
41463,520 Folly Rd,NH 1  LLC,Limited  Liability Company(LLC),SC-01,CHARLESTON,4/27/2020,Unanswered,4,ServisFirst Bank,25500,621310,,Unanswered,SC,Unanswered,29412
67663,1812 Garvin Road,FASCINATING RHYTHM DANCE STUDI,Corporation,SC-05,YORK,4/29/2020,Female Owned,2,Bank of York,5857,711120,,White,SC,Non-Veteran,29745
386279,1719 REDAN E,NEW KIDS PRODUCTION & DESIGN INC.,Corporation,GA-04,LITHONIA,5/11/2020,Male Owned,18,"Bank of America, National Association",72469,624410,,Unanswered,GA,Non-Veteran,30058
494440,4136 CHADDS CROSSING,WITTE REALTY GROUP,Corporation,GA-06,MARIETTA,7/24/2020,Unanswered,0,"Wells Fargo Bank, National Association",6250,531311,,Unanswered,GA,Unanswered,30062
458421,3875 GALLANT FOX COURT,"MY HEADQUARTERS PRO, LLC",Limited  Liability Company(LLC),GA-07,DULUTH,4/30/2020,Unanswered,1,Renasant Bank,15400,541611,,Unanswered,GA,Unanswered,30096
388017,309 E 2nd Ave,"WORKFORCE HOLDINGS, LLC",Limited  Liability Company(LLC),GA-14,ROME,4/10/2020,Male Owned,38,United Community Bank,68200,561311,,Unanswered,GA,Non-Veteran,30161
181848,752 Grove St.,"JORDAN FOREST PRODUCTS, LLC",Limited  Liability Company(LLC),GA-03,Barnesville,4/27/2020,Unanswered,188,"Carolina Farm Credit, ACA",2431400.85,321113,,Unanswered,GA,Unanswered,30204
492333,3191 W Manor Circle SW,JENNIFER HALL,Self-Employed Individuals,GA-05,Atlanta,8/4/2020,Unanswered,1,"Kabbage, Inc.",6689,812111,,Unanswered,GA,Unanswered,30311
463156,1001 Garden View Dr NE Unit 821,ACE DIGITAL SERVICES LLC,Limited  Liability Company(LLC),GA-06,Atlanta,6/5/2020,Unanswered,0,Navy FCU,14000,541611,,Unanswered,GA,Unanswered,30319
445685,831 S Main Street,ERIC GEIGER,Self-Employed Individuals,GA-12,Statesboro,7/8/2020,Unanswered,1,"Kabbage, Inc.",19791,236118,,Unanswered,GA,Unanswered,30458
390835,220 PRINCE AVE,"FLAGPOLE, INC",Subchapter S Corporation,GA-10,ATHENS,4/8/2020,Unanswered,11,First American Bank & Trust Company,62300,511110,,Unanswered,GA,Unanswered,30601
376843,211 VILLAGE AT GLYNN PLACE,"MAENO ENTERPRISES, INC.",Corporation,GA-01,BRUNSWICK,4/28/2020,Unanswered,16,The Conway National Bank,102000,561499,,Unanswered,GA,Unanswered,31525
316377,113 Pecan Grove Rd,FIRST COAST JANITORIAL SERVICE INC.,Corporation,FL-03,Palatka,4/12/2020,Female Owned,4,Capital City Bank,4569.58,561720,,White,FL,Non-Veteran,32177
160257,6403 Woodville Hwy,ALLEN'S EXCAVATION INC,Corporation,FL-02,TALLAHASSEE,4/7/2020,Unanswered,35,Prime Meridian Bank,281900,237990,,Unanswered,FL,Unanswered,32305
140005,23343 NW County Rd,TRENTON MEDICAL CENTER INC,Non-Profit Organization,FL-03,HIGH SPRINGS,4/11/2020,Unanswered,200,Ameris Bank,3815500,621111,Y,Unanswered,FL,Unanswered,32643
230818,11 North Summerlin Avenue,STEPHEN DECRISTO INC,Corporation,FL-10,Orlando,4/9/2020,Male Owned,1,"Readycap Lending, LLC",12000,813990,,Unanswered,FL,Non-Veteran,32801
193525,8567 NW 46th Dr,BLAZECORE INCORPORATED,Corporation,FL-22,CORAL SPRINGS,4/27/2020,Unanswered,0,Tropical Financial CU,16500,511210,,Unanswered,FL,Unanswered,33067
49127,2001 MERIDIAN AVE APT 308,"SPIKEFISH SOLUTIONS, INC.",Corporation,FL-27,MIAMI BEACH,5/1/2020,Unanswered,3,"Bank of America, National Association",55992,541512,,Unanswered,FL,Unanswered,33139
168522,11375 Southwest 58th Terrace,HONOLIO NAVARRO CONCRETE INC,Subchapter S Corporation,FL-27,Miami,6/3/2020,Unanswered,,Celtic Bank Corporation,210000,236115,,Unanswered,FL,Unanswered,33173
286281,10850 SW 88TH ST APT 109,LATINA MEDIA GROUP INC,Corporation,FL-27,MIAMI,5/11/2020,Unanswered,1,"Bank of America, National Association",6750,517919,,Unanswered,FL,Unanswered,33176
134338,9566 NW 41ST ST,TRANQUILITY AT DORAL INC,Corporation,FL-25,DORAL,4/30/2020,Unanswered,21,"Bank of America, National Association",21611,812113,,Unanswered,FL,Unanswered,33178
219949,1901 TIMBERLANE CIR,B&AMP;Y HIGH QUALITY CLEANING SERVICES LLC,Limited  Liability Company(LLC),FL-21,GREENACRES,5/1/2020,Unanswered,,"Wells Fargo Bank, National Association",13068,561790,,Unanswered,FL,Unanswered,33463
212880,412 E MADISON ST,STRATIGAKOS LAW,Corporation,FL-14,TAMPA,4/30/2020,Unanswered,2,Regions Bank,14000,541110,,Unanswered,FL,Unanswered,33602
194411,319 45TH AVE S,NINETHA MORRIS,Self-Employed Individuals,FL-13,SAINT PETERSBURG,7/27/2020,Unanswered,1,"Kabbage, Inc.",16354,541219,,Unanswered,FL,Unanswered,33705
254105,9315 CENTRAL PARK DR,"RUE DESIGNS, LLC",Corporation,FL-19,Fort Myers,8/5/2020,Unanswered,1,"Kabbage, Inc.",9678,541340,,Unanswered,FL,Unanswered,33919
336592,5657 NEW INDEPENDENCE PKWY,VENETIAN WINDERMERE LLC,Limited  Liability Company(LLC),FL-10,WINTER GARDEN,5/1/2020,Unanswered,2,"JPMorgan Chase Bank, National Association",3175,,,Unanswered,FL,Unanswered,34787
61316,1105 Colonial Drive,"DIGITAL PERSISTENCE, LLC",Limited  Liability Company(LLC),AL-06,Alabaster,4/27/2020,Unanswered,1,Millennial Bank,6200,517919,,Unanswered,AL,Unanswered,35007
61321,1411 Stadium Drive NE,KATHERINE CANADAY,Sole Proprietorship,AL-04,CULLMAN,4/27/2020,Unanswered,1,Peoples Bank of Alabama,6200,561492,,Unanswered,AL,Unanswered,35055
70668,1421 Shades Crest Road,"RP DESIGN, LLC",Sole Proprietorship,AL-06,BIRMINGHAM,4/30/2020,Unanswered,1,Progress Bank and Trust,1712,541613,,Unanswered,AL,Unanswered,35226
18453,16542 Ferry Road,BIG DADDYS GRILL LLC,Limited  Liability Company(LLC),AL-01,Fairhope,4/29/2020,Male Owned,0,Regions Bank,70000,722511,,Unanswered,AL,Unanswered,36532
10752,5821 RANGELINE RD,HANSEN PLUMBPROS LLC,Limited  Liability Company(LLC),AL-01,THEODORE,4/9/2020,Unanswered,16,BBVA USA,144867,541110,,Unanswered,AL,Unanswered,36582
49141,40 CONINE ST,SMART TAX & CONSULTING LLC,Limited  Liability Company(LLC),AL-03,CAMP HILL,7/24/2020,Unanswered,0,"Wells Fargo Bank, National Association",13297,541213,,Unanswered,AL,Unanswered,36850
161724,2235 NORTHWOODS DR,MICHAEL BIRES,Self-Employed Individuals,TN-04,MURFREESBORO,5/15/2020,Male Owned,0,Regions Bank,9600,424210,,Unanswered,TN,Unanswered,37130
162830,1307 Hixson Pk.,"ELBOW TREE COUNSELING AND NEUROFEEDBACK, LLC",Limited  Liability Company(LLC),TN-04,Chattanooga,5/5/2020,Unanswered,0,Truist Bank d/b/a Branch Banking & Trust Co,9100,621330,,Unanswered,TN,Unanswered,37405
352606,515 Lake Harbor Drive,"PRIMOS RESTAURANTS, INC.",Corporation,MS-02,RIDGELAND,4/3/2020,Male Owned,155,First Commercial Bank,848600,722511,,Unanswered,MS,Non-Veteran,39157
261029,2150 LEXINGTON RD Suite G,"FAMILY CHOICE HOME CARE, LLC",Limited  Liability Company(LLC),KY-06,RICHMOND,4/4/2020,Female Owned,90,Central Bank & Trust Co.,269100,621610,,White,KY,Non-Veteran,40475
50165,229 w NEW CIRCLE RD,"LUCKY'S KRAZY KUSTOMZ, INC",Corporation,KY-06,LEXINGTON,4/28/2020,Unanswered,7,"Forcht Bank, National Association",45036,441310,,Unanswered,KY,Unanswered,40505
564659,1111 S HAMILTON RD,"LALIBLA, LLC",Limited  Liability Company(LLC),OH-03,COLUMBUS,5/1/2020,Unanswered,10,Fifth Third Bank,12500,722511,,Unanswered,OH,Unanswered,43227
550211,3725 MEDINA RD,NY BAGEL DELI LLC,Limited  Liability Company(LLC),OH-16,MEDINA,4/14/2020,Unanswered,6,"U.S. Bank, National Association",18377,722511,,Unanswered,OH,Unanswered,44256
578699,338 Northeast Ave,TUESDAY PHOTOGRAPHY,Sole Proprietorship,OH-13,TALLMADGE,4/12/2020,Unanswered,0,KeyBank National Association,8200,541921,,Unanswered,OH,Unanswered,44278
534163,3041 MANCHESTER RD,"MAIN PAINT & BODY, INC.",Corporation,OH-13,COVENTRY TOWNSHIP,4/7/2020,Unanswered,,The Apple Creek Banking Company,23756,811121,,Unanswered,OH,Unanswered,44319
549164,4199 Kirk Rd.,"FAMILY FIRST ADULT DAY SERVICES, INC",Subchapter S Corporation,OH-13,Youngstown,4/16/2020,Unanswered,,"Citizens Bank, National Association",18800,624120,,Unanswered,OH,Unanswered,44511
544721,609 Vienna Woods Drive,MULAYE,Sole Proprietorship,OH-01,Cincinnati,6/29/2020,Unanswered,0,Cross River Bank,20425,484110,,Unanswered,OH,Unanswered,45211
880102,4400 W OLD NATIONAL RD,MIKE RICHARDSON TIMBER CO LLC,Limited  Liability Company(LLC),IN-06,KNIGHTSTOWN,5/6/2020,Unanswered,,First Merchants Bank,6500,999990,,Unanswered,IN,Unanswered,46148
881004,7768 East State Rd 2015,BRING IT INC. BRING IT-OWN IT,Non-Profit Organization,IN-03,Churubusco,4/15/2020,Unanswered,1,"Flagstar Bank, FSB",6200,812930,Y,Unanswered,IN,Unanswered,46723
243049,108 BECK LN,FIRST ASSEMBLY OF GOD LAFAYETTE IN INC.,Non-Profit Organization,IN-04,LAFAYETTE,4/8/2020,Unanswered,110,Centier Bank,530000,813110,Y,Unanswered,IN,Unanswered,47909
832869,103 N Jackson Ave,"BARCE & REDLIN, PC",Corporation,IN-04,FOWLER,4/15/2020,Unanswered,5,First Financial Bank,61900,541110,,Unanswered,IN,Unanswered,47944
864100,9515 W 1600 S,DALE ALTER,Sole Proprietorship,IN-04,GOODLAND,5/5/2020,Unanswered,,First Merchants Bank,15275,111110,,Unanswered,IN,Unanswered,47948
372355,21605 Eleven Mile Rd,JOHN L ZINKEL MD PC,Corporation,MI-09,St Clair Shores,4/15/2020,Unanswered,4,"PNC Bank, National Association",61000,621111,,Unanswered,MI,Unanswered,48081
444930,28555 FORD RD,"RAED DRY CLEANER & LAUNDRY, INC.",Corporation,MI-13,GARDEN CITY,5/6/2020,Male Owned,3,WebBank,6250,812320,,Unanswered,MI,Unanswered,48135
409187,1809 DURAND ST,SHAPING SOLUTIONS LLC,Limited  Liability Company(LLC),MI-05,SAGINAW,5/15/2020,Unanswered,2,Frankenmuth CU,20832,621112,,Unanswered,MI,Unanswered,48602
444821,10251 E DENVER RD,TODD ROBERT HAGGART,Sole Proprietorship,MI-04,COLEMAN,7/20/2020,Unanswered,1,Mercantile Bank of Michigan,6274,812111,,Unanswered,MI,Unanswered,48618
396393,5701 WOODBRIDGE LANE,GREGORY KAY,Sole Proprietorship,MI-04,MIDLAND,5/1/2020,Male Owned,1,The Huntington National Bank,28870,561990,,Unanswered,MI,Non-Veteran,48640
315120,4980 140TH AVE,"DE WEERDT POULTRY FARM, LLC",Limited  Liability Company(LLC),MI-06,HOLLAND,4/7/2020,Unanswered,0,Macatawa Bank,365600,112310,,Unanswered,MI,Unanswered,49423
560953,654 310th Avenue,HENDRICKSON FARMS INC.,Corporation,IA-01,Grinnell,5/1/2020,Unanswered,5,Cross River Bank,26095,424590,,Unanswered,IA,Unanswered,50112
577965,1200 Valley West Dr. Ste 208,"FELD LAW FIRM, PLC",Limited  Liability Company(LLC),IA-03,WEST DES MOINES,4/28/2020,Unanswered,1,"U.S. Bank, National Association",10671.87,541110,,Unanswered,IA,Unanswered,50266
583253,15500 398TH AVE,"STILLMUNKES FARMS, INC.",Corporation,IA-01,BELLEVUE,4/28/2020,Male Owned,4,Maquoketa State Bank,7800,112111,,Unanswered,IA,Unanswered,52031
583171,2777 370th St,KB ELECTRIC & TILING LLC,Limited  Liability Company(LLC),IA-01,Chelsea,4/29/2020,Male Owned,1,The State Bank of Toledo,7808.52,238210,,White,IA,Unanswered,52215
656000,11001 N Port Washington Rd,"NELL ENTERPRISES, LLC",Corporation,WI-06,MEQUON,4/9/2020,Female Owned,0,"Associated Bank, National Association",161400,444130,,White,WI,Non-Veteran,53092
853348,219 W Main St,"MIKE WEBB FLOORING, INC.",Corporation,WI-01,WATERFORD,5/11/2020,Male Owned,2,Community State Bank,6900,238330,,White,WI,Veteran,53185
791787,1669 Brighton Beach Road,"D&K DELIVERY, INC.",Corporation,WI-08,MENASHA,4/27/2020,Male Owned,19,Byline Bank,148000,484110,,White,WI,Non-Veteran,54952
494249,7153 10TH ST,LEGACY DANCE STUDIO INC,Subchapter S Corporation,MN-04,SAINT PAUL,4/13/2020,Unanswered,19,First Bank Elk River,21200,611610,,Unanswered,MN,Unanswered,55128
815064,802 3RD ST,"RUSSELL STREMICK INSURANCE AGENCY, INC.",Subchapter S Corporation,ND-,LANGDON,4/7/2020,Unanswered,2,Farmers and Merchants State Bank,20700,524210,,Unanswered,ND,Unanswered,58249
796826,984 S BARTLETT ROAD,"REINKE PSYCHOLOGICAL SERVICES, P.C.",Limited  Liability Company(LLC),IL-06,BARTLETT,5/1/2020,Unanswered,1,BMO Harris Bank National Association,4812,621330,,Unanswered,IL,Unanswered,60103
791781,515 Hamilton Street,DR. COURTNEY DRENDEL INC.,Corporation,IL-14,Geneva,4/28/2020,Unanswered,,Celtic Bank Corporation,5467,621111,,Unanswered,IL,Unanswered,60134
798313,8111 South Roberts Road,MAHMOUD BADRAN,Sole Proprietorship,IL-03,Bridgeview,5/4/2020,Unanswered,0,Celtic Bank Corporation,4548.72,485320,,Unanswered,IL,Unanswered,60455
691264,780 Meadowsedge Lane,SAVVY REALTY PARTNERS INC.,Subchapter S Corporation,IL-11,Aurora,4/29/2020,Unanswered,4,WebBank,27500,531210,,Unanswered,IL,Unanswered,60506
712832,5911 South Princeton Avenue,NICHOLAS JONES,Sole Proprietorship,IL-07,Chicago,7/20/2020,Unanswered,1,Cross River Bank,20817,541990,,Unanswered,IL,Unanswered,60621
239115,1409 Locust St,"C.V. KASIAR, LTD.",Corporation,IL-15,ELDORADO,4/10/2020,Unanswered,21,Legence Bank,152300,446110,,Unanswered,IL,Unanswered,62930
594006,2532 COPPERFIELD CT,MICHAEL JONES,Sole Proprietorship,MO-08,CAPE GIRARDEAU,4/14/2020,Unanswered,1,First State Community Bank,14479,238350,,Unanswered,MO,Unanswered,63701
549071,1779 BRIDGET PL,B&AMP;B AUTOMOTIVE SOLUTIONS GROUP LLC,Limited  Liability Company(LLC),MO-06,LIBERTY,5/1/2020,Male Owned,9,"U.S. Bank, National Association",108563,811111,,Unanswered,MO,Non-Veteran,64068
38194,8956 Linden Lane,STEPHEN M WOODSMALL,Sole Proprietorship,KS-03,Prairie Village,4/28/2020,Unanswered,1,Community Bank of Pleasant Hill,1200,541199,,Unanswered,KS,Unanswered,66207
